2017-11-15 01:16:42 UTC+1  INFO > M7fJ7nKpwND-Fi0_AAAB connected
2017-11-15 01:16:43 UTC+1  INFO > M7fJ7nKpwND-Fi0_AAAB disconnected
2017-11-15 01:16:44 UTC+1  INFO > 1joNFkOT9O_mxIInAAAC connected
2017-11-15 01:16:44 UTC+1 DEBUG > 1joNFkOT9O_mxIInAAAC {"data":"herro from client"}
2017-11-15 01:16:44 UTC+1 DEBUG < test
2017-11-15 01:16:58 UTC+1  INFO development mode
2017-11-15 01:16:58 UTC+1  INFO server listening to port 8080
2017-11-15 01:17:03 UTC+1  INFO > pNCs1kiry2pT7FWiAAAA connected
2017-11-15 01:17:03 UTC+1 DEBUG > pNCs1kiry2pT7FWiAAAA {"data":"herro from client"}
2017-11-15 01:17:03 UTC+1 DEBUG < test
2017-11-15 01:17:19 UTC+1  INFO development mode
2017-11-15 01:17:19 UTC+1  INFO server listening to port 8080
2017-11-15 01:17:20 UTC+1  INFO > K7XmeNSBoWlg2BmYAAAA connected
2017-11-15 01:17:23 UTC+1  INFO > rGBU53eDHwNLbKuAAAAB connected
2017-11-15 01:17:24 UTC+1 DEBUG > rGBU53eDHwNLbKuAAAAB {"data":"herro from client"}
2017-11-15 01:17:24 UTC+1 DEBUG < test
2017-11-15 01:17:32 UTC+1  INFO development mode
2017-11-15 01:17:32 UTC+1  INFO server listening to port 8080
2017-11-15 01:17:33 UTC+1  INFO > X_Sxu2yedbgI77srAAAA connected
2017-11-15 01:17:37 UTC+1  INFO > sjvqsha5ReUt5Z0BAAAB connected
2017-11-15 01:17:37 UTC+1 DEBUG > sjvqsha5ReUt5Z0BAAAB {"data":"herro from client"}
2017-11-15 01:17:37 UTC+1 DEBUG < test
2017-11-15 01:18:58 UTC+1  INFO > X_Sxu2yedbgI77srAAAA disconnected
2017-11-15 01:23:48 UTC+1  INFO development mode
2017-11-15 01:23:48 UTC+1  INFO server listening to port 8080
2017-11-15 01:23:57 UTC+1  INFO > 64mxJjYrIyxgQe-RAAAA connected
2017-11-15 01:23:57 UTC+1 DEBUG > 64mxJjYrIyxgQe-RAAAA {"data":"herro from client"}
2017-11-15 01:23:57 UTC+1 DEBUG < test
2017-11-15 01:24:19 UTC+1  INFO development mode
2017-11-15 01:24:19 UTC+1  INFO server listening to port 8080
2017-11-15 01:24:20 UTC+1  INFO > -2ZkNO53gylHaR3FAAAA connected
2017-11-15 01:24:27 UTC+1  INFO > diSvki7bBfx0ocZFAAAB connected
2017-11-15 01:24:27 UTC+1 DEBUG > diSvki7bBfx0ocZFAAAB {"data":"herro from client"}
2017-11-15 01:24:27 UTC+1 DEBUG < test
